trial_id,vary,n_writers,abort_rate,record_count,setup_ok,completion_time_s,completed,n_pending_after_completion,n_tasks_total,n_tasks_completed,n_tasks_with_reassignment,max_generation_observed,generation_distribution,integrity_pass,integrity_keys_ok,integrity_keys_total,notes
varyW_n1_r0pct,writers,1,0.0,500000,true,76.558678488,true,0,380,380,0,0,0:380,true,500000,500000,
varyW_n2_r0pct,writers,2,0.0,500000,true,41.315067965,true,0,380,380,0,0,0:380,true,500000,500000,
varyW_n4_r0pct,writers,4,0.0,500000,true,25.226316118,true,0,380,380,0,0,0:380,true,500000,500000,
varyW_n8_r0pct,writers,8,0.0,500000,true,19.191369696,true,0,380,380,0,0,0:380,true,500000,500000,
varyW_n16_r0pct,writers,16,0.0,500000,true,18.29675958,true,0,380,380,0,0,0:380,true,500000,500000,
