D	cass_nvme	cass_ebs	ozone_hi_cache	ozone_lo_cache	ozone_today	h_hi_cache	cass_nodes	cass_bound	cass_nvme_nodes_usd	cass_ebs_nodes	cass_ebs_nodes_usd	cass_clients	cass_clients_usd	ozone_log_tier_usd	ozone_s3_storage_usd	ozone_gets_hi_usd	h_lo_cache	ozone_gets_lo_usd	ozone_puts_compaction_usd	ozone_puts_checkpoint_usd	ozone_clients	ozone_clients_usd	ozone_today_log_tier_usd	ozone_today_log_gb
1 GB	1565	2402	3693	3693	3691	0.6454	3	floor	1503	3	2340	1	62	614	0	1954	0.6454	1954	2	2	8	1120	614	1.1
10 GB	1565	2402	3693	3964	3693	0.6454	3	floor	1503	3	2340	1	62	614	0	1954	0.5916	2225	2	2	8	1120	617	11.0
100 GB	1565	2402	4883	5932	4907	0.4096	3	floor	1503	3	2340	1	62	614	3	3141	0.2011	4191	2	2	8	1120	640	110.0
1 TB	1565	2402	6247	6613	6509	0.1434	3	storage	1503	3	2340	1	62	614	27	4481	0.0706	4848	2	2	8	1120	878	1100.0
10 TB	12587	4742	7053	7173	9691	0.0314	25	storage	12525	6	4680	1	62	614	270	5045	0.0075	5165	2	2	8	1120	3254	11000.0
100 TB	122306	45302	9623	9629	36021	0.0028	244	storage	122244	58	45240	1	62	614	2696	5189	0.0017	5195	2	2	8	1120	27014	110000.0
