label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
cassandra-quorum	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	26	36706.5						0	0	0	0	0	0	0	0	0.0		0.0	0.0							190764	0	1218136	48	1132824	1131996			80.05	39.71	0.0001198	1105152									0					0	0	0.0	0.0	107.4	0.0001074	32	30	0.1119	
ozonedb-corfu	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	111	9416.8	0	0		536870912	0.524288	15003	49	46	1	24	2	2336814317	987517986	0.01505		4.7e-05	4.7e-05							190764	190728	3453252	2285092	4	0	1245433643		636.88	218.94	0.0008558	3603216	7367	1532	8.2	0.8	8.0				4	3.5	22	35.2	287	1000839	0	283.6	33.3	0.0	0.0003169	32	120	0.0825	
