D	cass_nvme	cass_ebs	ozone_hi_cache	ozone_lo_cache	ozone_today	h_hi_cache	cass_nodes	cass_bound	cass_nvme_nodes_usd	cass_ebs_nodes	cass_ebs_nodes_usd	cass_clients	cass_clients_usd	ozone_log_tier_usd	ozone_s3_storage_usd	ozone_gets_hi_usd	h_lo_cache	ozone_gets_lo_usd	ozone_puts_compaction_usd	ozone_puts_checkpoint_usd	ozone_clients	ozone_clients_usd	ozone_today_log_tier_usd	ozone_today_log_gb
1 GB	1565	2402	4092	4092	4090	0.6753	3	floor	1503	3	2340	1	62	614	0	2773	0.6753	2773	2	2	5	700	614	1.1
10 GB	1565	2402	4092	4319	4092	0.6753	3	floor	1503	3	2340	1	62	614	0	2773	0.6319	3000	2	2	5	700	617	11.0
100 GB	1565	2402	5090	5994	5114	0.4847	3	floor	1503	3	2340	1	62	614	3	3768	0.3115	4673	2	2	5	700	640	110.0
1 TB	1565	2402	6308	6655	6570	0.256	3	storage	1503	3	2340	1	62	614	27	4963	0.1896	5309	2	2	5	700	878	1100.0
10 TB	12587	4742	7070	7409	9708	0.1566	25	storage	12525	6	4680	1	62	614	270	5482	0.0916	5821	2	2	5	700	3254	11000.0
100 TB	122306	45302	10084	10145	36482	0.0439	244	storage	122244	58	45240	1	62	614	2696	6070	0.0323	6131	2	2	5	700	27014	110000.0
