system,workload,threads,n_repeats,throughput_mean,throughput_stddev,rel_stddev_pct,max_rss_kb_mean,bytes_written_mean,failures
ozonedb,a,2,3,12948.037252800816,56.06312520688465,0.43298551056267254,9497581.333333334,5092305578.666667,
ozonedb,a,4,3,23537.9136655659,120.93240030419717,0.5137770578244226,21045521.333333332,8354758656,
ozonedb,a,8,3,38395.168647558436,496.8924743965676,1.2941536445840436,48853716,13336383488,
ozonedb,a,16,3,49149.251474269215,723.0275664296156,1.4710856111575523,99550993.33333333,15792887125.333334,
ozonedb,b,2,3,29676.43070812049,215.07080973178017,0.7247192623907073,15006261.333333334,1227254442.6666667,
ozonedb,b,4,3,57288.53908619662,178.77901303439506,0.3120676768618646,29347917.333333332,2300615338.6666665,
ozonedb,b,8,3,105654.68007847946,444.5242991811763,0.4207331836611375,57177488,4096410965.3333335,
ozonedb,b,16,3,160979.6023577191,256.5787198455483,0.15938585764138902,98711309.33333333,5814797653.333333,
ozonedb,c,2,3,29689.78948264912,215.9920206763373,0.7274959655829296,15257625.333333334,14979072,
ozonedb,c,4,3,58433.82898674563,492.0506111234636,0.8420646390211293,29424842.666666668,15218005.333333334,
ozonedb,c,8,3,110106.31473145187,297.1661897128944,0.2698902333055825,54983418.666666664,12916053.333333334,
ozonedb,c,16,3,189066.86153477916,80.52774461872404,0.04259220466507339,94284797.33333333,14076586.666666666,
ozonedb,d,2,3,44192.21423970866,176.7695770547597,0.4000016294633285,9656994.666666666,1941464405.3333333,
ozonedb,d,4,3,79276.45917183961,319.2123270089023,0.4026571448113971,18833650.666666668,3487988394.6666665,
ozonedb,d,8,3,137413.53229732843,304.0361718075009,0.22125635425020795,37879140,5817085952,
ozonedb,d,16,3,200949.95210087823,686.7914775046762,0.34177240169726547,72224257.33333333,8273924096,
ozonedb,f,2,3,11825.435133470472,29.636978319095196,0.2506206155172362,8773913.333333334,4608813738.666667,
ozonedb,f,4,3,21900.2024789458,52.50167590684011,0.23973146347534297,19723238.666666668,7860673194.666667,
ozonedb,f,8,3,36041.40362056095,321.07597112001287,0.8908531268655835,45891393.333333336,12165866837.333334,
ozonedb,f,16,3,46326.60555561374,1301.6130568341205,2.8096447845106454,93917894.66666667,15404501674.666666,
rocksdb,a,2,3,65.64653333333334,0.1840924858144216,0.2804298665394186,126625.33333333333,1644702378.6666667,
rocksdb,a,4,3,63.946733333333334,0.27347625734848074,0.4276625921185665,129748,1697132544,
rocksdb,a,8,3,61.60496666666667,0.2128809604763491,0.34555811324143637,144121.33333333334,1819206997.3333333,
rocksdb,a,16,3,57.797066666666666,0.1336892790515859,0.231308069356898,151918.66666666666,2002191701.3333333,
rocksdb,b,2,3,70.41746666666667,0.30257973053946585,0.4296941438858908,119548,1442387285.3333333,
rocksdb,b,4,3,68.84496666666666,0.13037385985439587,0.18937311784264432,123142.66666666667,1541229226.6666667,
rocksdb,b,8,3,65.88943333333333,0.3307955612358387,0.5020464503956963,129133.33333333333,1648553984,
rocksdb,b,16,3,61.245133333333335,0.08860487195032575,0.14467251049660396,138202.66666666666,1847091200,
rocksdb,c,2,3,74.26576666666666,0.24687912696972675,0.3324265513581988,126234.66666666667,1029419008,
rocksdb,c,4,3,72.80103333333334,0.3133780039079551,0.4304581810990161,128628,1105151317.3333333,
rocksdb,c,8,3,69.63223333333333,0.22538532191190694,0.3236795821742138,138269.33333333334,1253223082.6666667,
rocksdb,c,16,3,64.40216666666667,0.07446639062915597,0.1156271512021945,149862.66666666666,1463657813.3333333,
rocksdb,d,2,3,70.73843333333333,0.18832908254789635,0.2662330414648186,87082.66666666667,1449032362.6666667,
rocksdb,d,4,3,68.8569,0.5937990569207752,0.8623668171538004,93654.66666666667,1519674709.3333333,
rocksdb,d,8,3,66.5133,0.15697397873533087,0.23600389506359007,95158.66666666667,1638244352,
rocksdb,d,16,3,61.481366666666666,0.5846556707441849,0.950947746353803,105252,1861401258.6666667,
rocksdb,f,2,3,44.440599999999996,0.3235421456317549,0.7280328025088656,111745.33333333333,1545176405.3333333,
rocksdb,f,4,3,43.31463333333333,0.04008806971323716,0.09255086936725117,112606.66666666667,1608751786.6666667,
rocksdb,f,8,3,41.39216666666667,0.22750574351724115,0.5496347783612224,117056,1715186346.6666667,
rocksdb,f,16,3,39.164,0.21988390118424142,0.5614439311210331,130502.66666666667,1913249792,
trunkcpp,a,2,2,0.1330135,0.023502108086297272,17.66896449330126,17460,127059968,
trunkcpp,b,2,3,1.4908866666666667,0.05241763189360359,3.5158696543178056,17841.333333333332,3305472,
trunkcpp,b,4,4,2.13409,0.6824871514297297,31.980242231102235,19198,3497984,
trunkcpp,b,8,3,4.518876666666666,0.4404437494542673,9.746753052659857,23181.333333333332,3304106.6666666665,
trunkcpp,b,16,3,9.763283333333334,0.32466403286063783,3.3253570727808897,32421.333333333332,3335509.3333333335,
trunkcpp,c,2,3,65420.1,368.0115759048872,0.5625359421720346,287098.6666666667,15005013.333333334,
trunkcpp,c,4,3,124280.33333333333,628.2613575044492,0.505519530446852,559160,15060992,
trunkcpp,c,8,3,229279.0,939.0015974427307,0.4095453999026211,1103666.6666666667,14671872,
trunkcpp,c,16,3,363421.0,1002.6080989100377,0.27588061749597237,2191776,14512128,
